SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude
1763789623.782789, 0.076166, 0.020351, -9.779566, -0.001561, 0.003461, -0.001536, -83.614944, 239.654068, 816.113159, 34.136306
1763789623.792313, 0.074968, 0.028132, -9.771186, -0.002770, 0.003560, -0.001467, -83.499786, 239.598358, 816.170410, 34.136306
1763789623.802787, 0.068983, 0.031274, -9.773580, -0.001957, 0.002576, -0.002337, -83.662369, 239.481781, 815.978577, 34.136306
1763789623.812787, 0.068085, 0.029030, -9.781062, -0.002029, 0.003414, -0.002145, -83.667557, 239.798813, 816.250244, 34.136306
1763789623.822792, 0.069133, 0.030227, -9.780314, -0.003322, 0.002671, -0.003138, -83.616074, 239.851837, 816.111206, 34.136306
1763789623.832785, 0.073472, 0.039504, -9.786599, -0.001681, 0.002838, -0.003701, -83.613770, 239.851807, 816.069214, 34.136306
1763789623.842326, 0.054169, 0.036362, -9.784953, -0.001596, 0.003410, -0.001900, -83.727081, 239.687576, 815.979614, 34.136306
1763789623.852689, 0.069282, 0.025289, -9.781062, -0.003075, 0.002238, -0.002110, -83.500229, 239.842224, 816.123169, 34.136306
1763789623.862786, 0.084096, 0.018854, -9.769690, -0.001662, 0.001907, -0.003362, -83.668564, 239.784225, 816.056458, 34.136306
1763789623.872785, 0.071676, 0.021697, -9.776274, -0.002329, 0.002022, -0.001920, -83.472366, 239.682526, 816.139893, 34.136306
1763789623.882785, 0.062997, 0.033070, -9.773879, -0.004274, 0.003304, -0.003829, -83.549606, 239.490692, 816.344055, 34.136306
1763789623.892327, 0.078410, 0.019154, -9.769540, -0.003871, 0.003612, -0.002486, -83.560699, 239.486893, 816.349548, 34.136306
1763789623.902783, 0.065990, 0.030676, -9.787945, -0.002009, 0.001496, -0.001575, -83.591476, 239.646103, 816.068054, 34.136306
1763789623.912790, 0.078560, 0.025289, -9.780613, -0.000559, 0.003593, -0.002477, -83.660431, 239.731888, 816.088501, 34.136306
1763789623.921974, 0.075118, 0.012270, -9.786299, -0.002480, 0.002600, -0.001961, -83.755646, 239.822403, 816.196045, 34.136306
1763789623.932315, 0.060753, 0.013617, -9.775825, -0.001904, 0.003226, -0.003320, -83.634430, 239.732773, 816.080811, 34.136306
1763789623.942333, 0.069282, 0.022446, -9.766547, -0.002794, 0.002456, -0.002476, -83.595596, 239.842072, 816.004333, 34.136306
1763789623.952792, 0.067337, 0.018854, -9.776274, -0.002132, 0.003452, -0.003298, -83.444550, 239.823898, 816.096313, 34.136306
1763789623.962782, 0.057162, 0.034117, -9.788993, -0.002377, 0.002430, -0.002882, -83.488678, 239.666626, 816.070435, 34.136306
1763789623.972789, 0.080056, 0.024690, -9.780015, -0.002972, 0.003573, -0.002452, -83.604233, 239.553864, 816.015930, 34.136306
1763789623.982794, 0.067636, 0.025289, -9.767744, -0.004532, 0.001953, -0.002502, -83.516678, 239.668716, 815.942993, 34.136306
1763789623.992333, 0.068085, 0.033519, -9.773281, -0.004275, 0.002641, -0.002031, -83.508957, 239.669312, 816.079041, 34.136306
1763789624.002387, 0.075866, 0.015413, -9.778219, -0.002074, 0.003828, -0.003246, -83.523346, 239.471817, 815.894836, 34.136306
1763789624.012597, 0.069432, 0.024092, -9.776124, -0.002009, 0.002561, -0.002769, -83.424606, 239.445938, 815.798950, 34.136306
1763789624.022789, 0.075118, 0.033070, -9.784953, -0.001158, 0.002832, -0.002907, -83.545654, 239.393799, 815.974426, 34.136306
1763789624.032784, 0.071527, 0.027833, -9.779266, -0.002914, 0.001936, -0.001765, -83.420837, 239.518860, 816.043152, 34.136306
1763789624.042348, 0.071527, 0.027833, -9.779266, -0.002617, 0.001806, -0.001996, -83.499908, 239.718231, 816.226196, 34.136306
1763789624.053026, 0.076016, 0.024391, -9.787646, -0.003679, 0.001987, -0.001731, -83.730911, 239.708191, 815.979004, 34.136306
1763789624.062782, 0.063895, 0.030227, -9.782858, -0.001712, 0.001917, -0.003535, -83.748352, 239.650421, 816.091736, 34.136306
1763789624.072779, 0.062997, 0.030077, -9.772533, -0.002171, 0.002892, -0.001817, -83.413605, 239.595581, 816.157288, 34.136306
1763789624.082781, 0.072275, 0.027084, -9.774179, -0.003891, 0.001964, -0.002672, -83.746033, 239.560852, 816.248413, 34.136306
1763789624.092361, 0.084845, 0.035614, -9.772982, -0.003150, 0.001313, -0.001624, -83.596039, 239.496490, 816.231812, 34.136306
1763789624.102797, 0.081104, 0.020949, -9.771036, -0.002641, 0.002133, -0.001496, -83.690628, 239.620361, 816.355713, 34.136306
1763789624.112781, 0.061950, 0.024391, -9.765949, -0.002231, 0.002735, -0.002836, -83.576675, 239.616989, 816.062256, 34.136306
1763789624.122780, 0.071078, 0.026635, -9.777321, -0.001922, 0.001979, -0.001664, -83.604645, 239.823807, 816.143372, 34.136306
1763789624.132779, 0.084845, 0.030676, -9.764602, -0.002662, 0.002930, -0.000834, -83.599258, 239.652435, 816.116394, 34.136306
1763789624.142361, 0.071976, 0.027982, -9.784204, -0.003236, 0.002742, -0.002503, -83.610413, 239.782562, 816.151123, 34.136306
1763789624.152811, 0.067487, 0.019154, -9.786150, -0.003247, 0.002186, -0.002166, -83.375732, 239.202972, 815.963806, 34.136306
1763789624.162789, 0.070928, 0.025738, -9.768043, -0.003037, 0.002434, -0.001449, -83.574158, 239.534088, 816.029297, 34.136306
1763789624.172217, 0.080804, 0.025438, -9.759813, -0.002777, 0.001917, -0.004285, -83.697083, 239.502457, 816.087769, 34.136306
1763789624.182211, 0.067935, 0.024690, -9.779266, -0.002194, 0.003451, -0.001867, -83.410690, 239.672531, 815.979858, 34.136306
1763789624.192368, 0.059406, 0.027234, -9.774927, -0.001700, 0.002318, -0.001381, -83.554947, 239.524689, 816.131958, 34.136306
1763789624.202771, 0.064045, 0.033519, -9.789891, -0.003928, 0.003443, -0.001671, -83.375610, 239.348206, 816.045410, 34.136306
1763789624.212774, 0.084096, 0.022745, -9.785102, -0.004202, 0.002540, -0.002061, -83.571243, 239.490189, 816.039551, 34.136306
1763789624.222318, 0.076315, 0.023194, -9.779416, -0.004149, 0.002494, -0.003258, -83.521759, 239.533295, 816.076172, 34.136306
1763789624.232785, 0.055964, 0.038756, -9.783007, -0.002706, 0.002393, -0.002758, -83.579926, 239.461884, 816.131836, 34.136306
1763789624.242375, 0.067337, 0.018705, -9.786599, -0.002936, 0.001496, -0.003569, -83.765396, 239.486923, 816.079285, 34.136306
1763789624.252779, 0.066589, 0.020201, -9.775226, -0.002900, 0.002968, -0.003327, -83.390152, 239.336945, 816.099854, 34.136306
1763789624.262780, 0.063895, 0.020800, -9.771934, -0.003423, 0.003033, -0.003827, -83.670593, 239.345245, 816.265503, 34.136306
1763789624.272522, 0.061651, 0.021099, -9.776274, -0.002029, 0.001896, -0.002397, -83.497360, 239.416977, 816.238403, 34.136306
1763789624.282778, 0.064195, 0.031723, -9.776722, -0.003098, 0.003879, -0.001987, -83.492920, 239.611755, 816.186279, 34.136306
1763789624.292413, 0.065541, 0.022745, -9.774777, -0.004101, 0.002106, -0.002117, -83.542908, 239.261520, 816.137695, 34.136306
1763789624.302776, 0.068085, 0.019603, -9.757120, -0.003125, 0.002251, -0.002159, -83.482101, 239.240799, 816.035278, 34.136306
1763789624.312789, 0.082151, 0.016909, -9.777171, -0.002307, 0.003429, -0.001570, -83.383728, 239.512390, 815.893188, 34.136306
1763789624.322776, 0.071676, 0.027982, -9.784803, -0.003156, 0.003005, -0.002043, -83.379562, 239.360275, 816.072632, 34.136306
1763789624.332790, 0.070330, 0.020201, -9.758018, -0.003402, 0.002861, -0.002565, -83.528870, 239.400208, 816.040283, 34.136306
1763789624.342391, 0.063297, 0.021548, -9.761160, -0.003149, 0.002285, -0.002148, -83.490128, 239.507111, 815.911987, 34.136306
1763789624.352752, 0.071676, 0.027234, -9.775376, -0.002620, 0.002532, -0.002414, -83.523575, 239.333801, 816.184326, 34.136306
1763789624.362777, 0.076016, 0.023792, -9.772533, -0.004328, 0.003363, -0.003810, -83.387848, 239.353104, 816.048157, 34.136306
1763789624.372782, 0.070629, 0.017807, -9.775675, -0.001489, 0.003825, -0.003543, -83.523499, 239.353180, 816.260681, 34.136306
1763789624.382812, 0.068833, 0.027084, -9.774777, -0.002053, 0.003649, -0.001558, -83.465881, 239.443039, 816.226624, 34.136306
1763789624.392405, 0.065392, 0.036661, -9.780912, -0.002898, 0.003369, -0.002783, -83.478027, 239.453186, 816.149963, 34.136306
1763789624.402787, 0.064643, 0.025738, -9.785252, -0.002997, 0.004835, -0.003943, -83.706268, 239.383224, 816.212891, 34.136306
1763789624.412776, 0.073173, 0.033220, -9.767146, -0.001585, 0.003991, -0.002281, -83.651627, 239.597473, 816.044617, 34.136306
1763789624.422774, 0.065990, 0.036661, -9.777321, -0.003300, 0.002498, -0.002974, -83.563919, 239.601608, 816.180115, 34.136306
1763789624.432806, 0.066140, 0.028730, -9.784354, -0.002462, 0.001591, -0.002886, -83.685516, 239.400192, 816.040894, 34.136306
1763789624.442405, 0.077961, 0.016460, -9.781212, -0.003692, 0.001667, -0.001782, -83.667969, 239.608643, 816.065002, 34.136306
1763789624.452773, 0.086790, 0.026187, -9.773580, -0.003248, 0.001527, -0.002352, -83.651398, 239.565140, 816.236511, 34.136306
1763789624.462783, 0.063596, 0.029628, -9.769839, -0.001590, 0.002952, -0.002684, -83.475418, 239.595596, 816.210632, 34.136306
1763789624.472807, 0.065990, 0.036362, -9.774628, -0.002534, 0.001372, -0.002335, -83.490036, 239.734940, 816.232361, 34.136306
1763789624.482774, 0.068235, 0.033818, -9.769241, -0.002678, 0.003670, -0.000973, -83.447510, 239.465256, 816.089233, 34.136306
1763789624.492413, 0.079458, 0.021548, -9.774777, -0.003559, 0.002525, -0.001552, -83.517258, 239.222122, 816.084290, 34.136306
1763789624.502774, 0.069731, 0.024541, -9.778219, -0.003749, 0.003128, -0.001379, -83.852768, 239.444199, 816.037292, 34.136306
1763789624.512774, 0.076315, 0.024690, -9.768941, -0.003698, 0.002128, -0.002992, -83.727936, 239.425781, 816.003174, 34.136306
