SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ, Latitude
1763770063.710703, -0.044293, -0.060603, -9.781361, -0.008806, -0.005157, -0.028960, -89.996948, 280.861786, 818.442566, 34.136307
1763770063.720703, -0.046537, -0.068235, -9.780763, -0.006859, -0.002318, -0.029539, -89.999359, 280.904419, 818.723877, 34.136307
1763770063.730706, -0.039804, -0.076764, -9.790489, -0.006928, -0.000996, -0.031447, -90.082672, 280.843079, 818.566284, 34.136307
1763770063.740580, -0.037110, -0.078709, -9.783157, -0.007377, 0.001595, -0.030367, -90.093674, 280.918884, 818.507446, 34.136307
1763770063.750706, -0.048782, -0.075866, -9.775076, -0.008634, 0.002335, -0.028443, -90.051956, 280.862396, 818.463623, 34.136307
1763770063.760736, -0.039654, -0.077363, -9.779416, -0.006316, 0.004561, -0.029232, -90.343033, 280.710815, 818.552002, 34.136307
1763770063.770700, -0.029928, -0.070928, -9.775376, -0.004021, 0.004400, -0.029368, -90.086517, 280.841156, 818.623352, 34.136307
1763770063.780699, -0.030077, -0.079906, -9.786449, -0.006222, 0.003159, -0.027368, -90.118561, 280.782013, 818.678711, 34.136307
1763770063.790579, -0.015413, -0.087688, -9.781212, -0.007663, 0.002970, -0.027533, -90.252167, 281.046112, 818.584412, 34.136307
1763770063.800700, 0.000748, -0.086939, -9.790938, -0.009017, -0.000221, -0.029136, -90.062256, 280.922791, 818.696533, 34.136307
1763770063.810699, 0.008380, -0.101604, -9.777920, -0.013030, -0.003989, -0.028678, -90.037628, 280.781677, 818.688843, 34.136307
1763770063.820718, 0.009577, -0.117466, -9.764901, -0.015005, -0.006364, -0.029184, -90.141052, 280.863556, 818.753784, 34.136307
1763770063.830700, 0.007781, -0.103549, -9.779266, -0.017905, -0.010572, -0.030949, -90.203552, 280.959076, 818.764648, 34.136307
1763770063.840593, -0.006883, -0.098162, -9.765799, -0.019719, -0.011065, -0.033012, -90.424423, 280.895752, 818.739258, 34.136307
1763770063.850705, -0.024840, -0.078260, -9.770438, -0.020161, -0.012300, -0.030084, -90.107056, 280.841797, 818.666443, 34.136307
1763770063.860308, -0.037260, -0.078560, -9.775076, -0.018688, -0.011892, -0.031563, -90.365189, 280.900879, 818.653442, 34.136307
1763770063.870700, -0.052672, -0.059406, -9.773879, -0.016102, -0.009768, -0.031298, -90.400955, 280.783508, 818.724854, 34.136307
1763770063.880701, -0.056563, -0.060304, -9.766547, -0.014197, -0.006078, -0.031696, -90.467148, 280.782654, 818.638245, 34.136307
1763770063.890595, -0.063596, -0.044891, -9.787197, -0.014562, -0.003875, -0.031285, -90.392639, 280.956055, 818.634155, 34.136307
1763770063.900729, -0.054767, -0.050877, -9.785102, -0.010202, -0.001688, -0.032410, -90.471359, 281.019318, 818.490173, 34.136307
1763770063.910701, -0.064494, -0.046687, -9.778518, -0.008964, -0.000549, -0.032595, -90.258331, 280.875977, 818.671387, 34.136307
1763770063.920702, -0.072425, -0.041599, -9.780613, -0.007626, 0.003169, -0.033218, -90.403580, 280.814575, 818.699524, 34.136307
1763770063.930703, -0.068384, -0.026935, -9.785850, -0.004859, 0.006889, -0.032549, -90.327225, 280.956543, 818.531982, 34.136307
