SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
1763766187.997176, 0.092925, -0.055516, -9.761759, -0.013612, 0.012029, -0.002707
1763766188.007169, 0.104746, -0.029778, -9.755175, -0.014065, 0.013033, -0.002055
1763766188.017080, 0.111630, -0.018256, -9.786748, -0.013630, 0.015363, -0.000952
1763766188.027188, 0.123750, -0.008978, -9.769390, -0.011087, 0.013868, -0.001378
1763766188.037181, 0.127940, 0.007332, -9.793781, -0.006659, 0.013620, -0.000908
1763766188.047183, 0.137966, 0.014066, -9.776872, -0.003569, 0.010500, -0.000902
1763766188.057195, 0.165200, 0.007632, -9.788693, 0.000866, 0.009322, 0.000466
1763766188.067083, 0.143203, -0.000599, -9.800365, 0.004736, 0.007302, 0.000670
1763766188.077177, 0.149937, -0.011522, -9.784055, 0.004792, 0.004852, 0.000157
1763766188.087179, 0.153079, -0.021398, -9.779715, 0.005010, 0.003194, 0.000770
1763766188.097189, 0.156820, -0.045041, -9.775675, 0.003901, 0.001191, 0.000272
1763766188.107176, 0.146944, -0.049380, -9.772383, 0.002634, 0.002222, 0.000322
1763766188.117087, 0.133177, -0.048782, -9.770288, 0.000954, 0.001235, -0.000855
1763766188.127176, 0.138714, -0.064494, -9.774628, -0.001890, 0.000361, -0.000598
1763766188.136345, 0.143502, -0.056563, -9.766697, -0.004919, 0.000409, -0.000435
1763766188.147173, 0.128239, -0.067636, -9.772982, -0.007831, -0.000216, -0.001275
1763766188.157175, 0.137218, -0.051625, -9.763105, -0.008500, 0.000309, -0.001778
1763766188.167092, 0.140360, -0.036063, -9.782109, -0.006997, 0.000018, -0.001873
1763766188.177172, 0.140959, -0.028282, -9.775525, -0.008423, 0.000072, -0.002228
1763766188.187186, 0.134674, -0.017208, -9.774628, -0.007982, 0.001212, -0.002052
1763766188.197173, 0.134524, -0.018854, -9.792734, -0.005714, -0.000398, -0.003809
1763766188.207192, 0.127042, -0.011372, -9.775825, -0.005763, -0.000921, -0.003046
1763766188.217101, 0.123152, -0.006285, -9.772682, -0.004815, -0.001071, -0.005905
1763766188.227171, 0.120009, -0.007332, -9.794529, -0.001499, -0.000252, -0.004110
1763766188.237187, 0.127042, -0.012270, -9.777620, 0.000016, 0.000060, -0.003636
1763766188.247181, 0.130933, -0.017508, -9.774029, -0.000409, 0.001166, -0.004100
1763766188.257173, 0.110133, -0.016460, -9.780912, 0.000448, 0.002664, -0.004437
1763766188.267105, 0.114024, -0.034716, -9.776722, -0.000300, 0.004051, -0.003424
1763766188.276955, 0.124798, -0.041300, -9.778069, -0.001379, 0.004889, -0.003503
1763766188.287173, 0.122852, -0.036063, -9.766996, -0.002676, 0.005478, -0.005243
1763766188.297182, 0.118064, -0.042497, -9.770138, -0.002878, 0.006536, -0.004867
1763766188.307172, 0.129437, -0.031274, -9.775376, -0.003007, 0.007245, -0.003123
1763766188.317107, 0.133177, -0.032771, -9.783905, -0.005153, 0.007833, -0.002063
1763766188.326971, 0.131681, -0.031574, -9.781810, -0.003574, 0.006616, -0.001099
1763766188.337174, 0.131382, -0.032322, -9.775675, -0.004380, 0.007346, -0.001431
1763766188.347168, 0.129287, -0.026635, -9.778368, -0.002974, 0.004498, -0.003323
1763766188.357171, 0.132280, -0.037409, -9.772982, -0.003829, 0.005227, -0.002587
1763766188.367120, 0.144700, -0.023194, -9.774478, -0.002108, 0.004281, -0.001040
1763766188.377184, 0.143652, -0.013916, -9.772533, -0.003570, 0.003047, -0.001201
1763766188.387178, 0.138864, -0.025588, -9.779416, -0.002548, 0.003106, -0.001217
1763766188.397183, 0.150835, -0.033818, -9.780463, -0.001990, 0.002210, -0.001169
1763766188.407181, 0.136769, -0.035614, -9.783157, -0.002632, 0.000993, -0.000059
1763766188.417132, 0.128090, -0.020201, -9.778069, -0.001038, -0.000119, -0.000522
1763766188.427193, 0.133327, -0.032022, -9.768941, -0.003194, 0.001323, -0.002716
