SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
1763763109.118677, -0.048333, 0.015263, -9.814730, -0.005532, 0.003055, -0.002932
1763763109.128668, -0.032471, 0.007332, -9.769989, -0.003181, 0.003880, -0.002785
1763763109.138288, -0.054318, 0.011522, -9.765350, -0.005422, 0.004129, -0.002898
1763763109.148689, -0.040701, 0.026785, -9.771485, -0.002855, 0.003937, -0.002026
1763763109.158684, -0.038756, 0.019303, -9.810092, -0.005707, 0.004059, -0.004045
1763763109.168685, -0.051924, 0.026486, -9.789741, -0.003789, 0.003282, -0.000375
1763763109.178691, -0.061052, 0.028880, -9.737966, -0.004014, 0.002746, -0.002888
1763763109.188684, -0.049530, 0.017208, -9.795128, -0.004940, 0.003547, -0.002684
1763763109.198684, -0.055516, 0.023643, -9.782259, -0.003585, 0.003347, -0.001174
1763763109.208690, -0.058209, 0.027234, -9.763405, -0.002972, 0.002011, -0.000587
1763763109.218681, -0.042198, 0.027533, -9.765500, 0.000011, 0.003123, -0.001943
1763763109.228688, -0.023493, 0.031723, -9.800515, -0.003603, 0.002005, -0.002449
1763763109.238684, -0.049380, 0.020650, -9.769989, -0.002162, 0.002524, -0.003100
1763763109.247906, -0.046238, 0.025289, -9.753978, -0.001639, 0.002762, -0.000900
1763763109.258689, -0.029479, 0.031723, -9.800066, -0.003094, 0.002960, -0.000837
1763763109.268686, -0.064643, 0.018705, -9.767595, -0.003753, 0.001389, -0.004622
1763763109.278677, -0.033519, 0.023643, -9.786898, -0.001531, 0.002495, -0.002900
1763763109.288073, -0.033519, 0.023643, -9.786898, -0.001833, 0.003341, -0.000218
1763763109.298683, -0.051176, 0.022745, -9.753379, -0.002864, 0.002284, -0.002889
1763763109.308675, -0.044442, 0.025738, -9.769989, -0.002720, 0.004318, -0.001724
1763763109.318681, -0.055964, 0.007632, -9.798121, -0.004720, 0.002715, -0.002274
1763763109.328684, -0.050129, 0.027384, -9.770438, -0.003392, 0.004491, -0.002578
1763763109.338677, -0.050278, 0.026635, -9.788993, -0.003376, 0.003032, -0.001354
1763763109.348676, -0.045789, 0.021697, -9.776124, -0.001547, 0.003888, -0.002055
1763763109.358692, -0.057162, 0.013617, -9.792135, -0.002560, 0.002984, -0.002973
1763763109.368685, -0.054917, 0.026037, -9.744401, -0.004958, 0.002659, -0.002279
1763763109.378678, -0.027234, 0.021099, -9.797223, -0.001615, 0.003498, -0.001739
1763763109.388680, -0.038008, 0.016759, -9.803657, -0.001931, 0.002960, -0.002106
1763763109.398676, -0.054019, 0.026486, -9.766697, -0.003063, 0.003741, -0.002913
1763763109.408685, -0.041300, 0.026037, -9.779566, -0.003280, 0.001643, -0.002285
1763763109.418678, -0.041300, 0.021847, -9.772084, -0.001645, 0.002672, -0.002285
1763763109.428679, -0.059556, 0.024690, -9.797971, -0.003133, 0.001723, -0.003234
1763763109.438643, -0.035464, 0.028282, -9.742156, -0.003408, 0.002384, -0.001268
1763763109.448685, -0.045340, 0.032920, -9.787796, -0.001591, 0.002876, -0.001693
1763763109.458100, -0.039055, 0.014365, -9.779566, -0.002905, 0.003191, -0.002224
1763763109.468686, -0.066738, 0.028581, -9.761310, -0.002215, 0.003332, -0.001954
1763763109.478685, -0.024241, 0.026037, -9.767894, -0.002818, 0.005517, -0.002278
1763763109.488677, -0.044592, 0.027982, -9.787496, -0.000550, 0.003874, -0.002053
1763763109.498666, -0.047734, 0.031125, -9.779566, -0.005942, 0.005001, -0.002027
1763763109.508677, -0.046238, 0.027833, -9.737966, -0.001917, 0.003125, -0.002850
1763763109.518682, -0.056413, 0.023942, -9.812187, -0.002356, 0.003699, -0.002483
1763763109.528684, -0.042946, 0.026486, -9.766846, -0.005388, 0.002852, -0.002965
1763763109.538682, -0.058957, 0.027384, -9.786449, -0.003055, 0.003317, -0.000913
1763763109.548679, -0.045340, 0.020201, -9.780763, -0.004568, 0.004307, -0.003002
1763763109.558694, -0.035464, 0.033818, -9.782708, -0.000659, 0.002536, -0.001627
1763763109.568671, -0.049680, 0.031125, -9.784354, -0.004241, 0.002610, -0.001336
1763763109.578183, -0.033220, 0.026187, -9.725846, -0.002131, 0.002886, -0.002553
1763763109.587956, -0.041001, 0.024241, -9.809942, -0.001286, 0.002432, -0.001859
1763763109.598683, -0.051026, 0.020201, -9.790489, -0.003167, 0.003196, -0.002344
1763763109.608677, -0.057610, 0.024241, -9.774628, -0.003136, 0.001871, -0.002075
